rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,WICK JOHN O GROATS,10719,6935,54.563806777,10719,6935,54.563806777,0,0,
3/19/2024 1:15:09 PM,2023,2022,2,4,Non UK Reporting Airports,ALDERNEY,49546,50924,-2.705993245,49546,50924,-2.705993245,0,0,
3/19/2024 1:15:09 PM,2023,2022,2,4,Non UK Reporting Airports,GUERNSEY,694958,654446,6.190273911,694129,653052,6.290004471,829,1394,-40.530846485
3/19/2024 1:15:09 PM,2023,2022,2,4,Non UK Reporting Airports,ISLE OF MAN,638619,551941,15.704214762,638619,551941,15.704214762,0,0,
3/19/2024 1:15:09 PM,2023,2022,2,4,Non UK Reporting Airports,JERSEY,1468820,1336225,9.923104268,1468802,1335974,9.942409059,18,251,-92.828685259


3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,GATWICK,43249282,40897656,5.750026358,43242155,40894242,5.741426874,7127,3414,108.758055067
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,HEATHROW,83882140,79180434,5.937964422,83857297,79149042,5.948593793,24843,31392,-20.862003058
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,LONDON CITY,3573250,3429684,4.185983315,3573250,3429684,4.185983315,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,LUTON,16939902,16403784,3.268258104,16937118,16399866,3.275953596,2784,3918,-28.943338438
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,SOUTHEND,287758,146072,96.997371159,287758,146072,96.997371159,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,STANSTED,29694316,27951291,6.235937367,29694312,27951116,6.236588192,4,175,-97.714285714
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,ABERDEEN,2300657,2229918,3.172269115,2300657,2229918,3.172269115,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BARRA,11064,12849,-13.892131683,11057,12849,-13.946610631,7,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2391124,2115153,13.047330382,2391042,2115153,13.043453594,82,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,6750440,5957055,13.318409852,6750440,5956888,13.321586708,0,167,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BENBECULA,26494,30779,-13.921829819,26471,30660,-13.662752772,23,119,-80.672268908
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BIGGIN HILL,8353,6495,28.606620477,8353,6495,28.606620477,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BIRMINGHAM,12848201,11481365,11.904821421,12847682,11479335,11.920089448,519,2030,-74.433497537
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BLACKPOOL,18729,14365,30.379394361,18729,14365,30.379394361,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BOURNEMOUTH,1088370,950206,14.540425971,1088370,950028,14.561886597,0,178,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BRISTOL,10615864,9913011,7.090207002,10614415,9911879,7.087818566,1449,1132,28.003533569
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,CAMPBELTOWN,7028,7120,-1.292134831,7007,7082,-1.059022875,21,38,-44.736842105
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,CARDIFF WALES,875651,838574,4.421434483,874714,837252,4.474399583,937,1322,-29.122541604
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),179095,154486,15.929598799,179095,154486,15.929598799,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,DUNDEE,36071,38508,-6.328555105,30355,32862,-7.628872254,5716,5646,1.239815799
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4133398,3932497,5.108738799,4133198,3932497,5.103652972,200,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,EDINBURGH,15780353,14396794,9.610188213,15779491,14395463,9.614334739,862,1331,-35.236664162
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,EXETER,449722,433067,3.845825242,449722,433067,3.845825242,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,FARNBOROUGH,38342,38827,-1.249130760,38342,38827,-1.249130760,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,GLASGOW,8067685,7358828,9.632743149,8064791,7355987,9.635742967,2894,2841,1.865540303
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,HUMBERSIDE,150615,136976,9.957218783,150615,136976,9.957218783,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,INVERNESS,797059,802338,-0.657952135,796408,801338,-0.615221043,651,1000,-34.900000000
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,ISLAY,30535,28982,5.358498378,30535,28926,5.562469750,0,56,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),68086,69404,-1.899025993,68086,69404,-1.899025993,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,KIRKWALL,149503,143093,4.479604174,135580,134123,1.086316292,13923,8970,55.217391304
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,LANDS END (ST JUST),49671,54517,-8.888970413,49580,54336,-8.752944641,91,181,-49.723756906
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,LEEDS BRADFORD,4222487,3989405,5.842525389,4222256,3989405,5.836735052,231,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,LERWICK (TINGWALL),2840,2913,-2.506007552,2840,2913,-2.506007552,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),5074266,4193623,20.999574831,5074088,4193076,21.011114514,178,547,-67.458866545
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,LYDD,5,7,-28.571428571,5,7,-28.571428571,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,MANCHESTER,30789056,28096783,9.582139706,30755578,28077659,9.537543710,33478,19124,75.057519347
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,NEWCASTLE,5143412,4819969,6.710478843,5142738,4818885,6.720496546,674,1084,-37.822878229
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,NEWQUAY,415989,408870,1.741140216,415989,408860,1.743628626,0,10,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,NORWICH,415099,357852,15.997395571,415099,357852,15.997395571,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,OXFORD (KIDLINGTON),2,2,(None),2,2,(None),0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,PRESTWICK,535570,524880,2.036655998,535101,523949,2.128451433,469,931,-49.624060150
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,SOUTHAMPTON,852727,754931,12.954296485,852501,754678,12.962216999,226,253,-10.671936759
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,STORNOWAY,100988,106237,-4.940839820,100807,105256,-4.226837425,181,981,-81.549439348
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,SUMBURGH,289724,259068,11.833186654,287211,258478,11.116226526,2513,590,325.932203390
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,228126,226557,0.692540950,227784,226326,0.644203494,342,231,48.051948052
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,TIREE,10026,11898,-15.733736762,9829,11707,-16.041684462,197,191,3.141361257
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,WICK JOHN O GROATS,9963,10719,-7.052896725,9963,10719,-7.052896725,0,0,
3/14/2025 11:37:31 AM,2024,2023,2,4,Non UK Reporting Airports,ALDERNEY,47736,49546,-3.653170791,47736,49546,-3.653170791,0,0,
3/14/2025 11:37:31 AM,2024,2023,2,4,Non UK Reporting Airports,GUERNSEY,684554,694958,-1.497068888,683782,694129,-1.490645111,772,829,-6.875753920
3/14/2025 11:37:31 AM,2024,2023,2,4,Non UK Reporting Airports,ISLE OF MAN,639138,638619,0.081269114,639138,638619,0.081269114,0,0,
3/14/2025 11:37:31 AM,2024,2023,2,4,Non UK Reporting Airports,JERSEY,1469946,1468820,0.076660176,1469806,1468802,0.068355027,140,18,677.777777778

